k,funds,weights,effective_bets,max_pair_corr,cum_return,cagr,ann_vol,max_drawdown,max_dd_duration_bdays,sharpe,sortino,calmar,cvar_95,ulcer_index,hit_rate_monthly,worst_rolling_12m,tracking_error,information_ratio,upside_capture,downside_capture,corr_with_dis,beta_vs_dis
4,CPF;HSHF;NAEF;SBF,0.300;0.100;0.500;0.100,3.0008452629957403,0.646214147159025,0.5570526568643224,0.07395214727471511,0.11453982708453801,-0.2030987495923796,577.0,0.6803572710565978,0.8196124676009858,0.36411916579071757,-0.017318831100759668,0.06325251930697622,0.6619718309859155,-0.16866209488626605,0.03665803404636138,0.23903631843638207,1.0322635662009902,0.9709277962268377,0.9512078051987187,1.098135183805679
3,GBF;GEF;VAEF,0.300;0.600;0.100,2.5136602219639115,0.5215869911888883,0.5563483546720018,0.07387386077524716,0.11206489561218416,-0.23198543932737103,566.0,0.6924134453482216,0.7973856714688053,0.318441799577768,-0.01689585786492543,0.07911287427465523,0.6619718309859155,-0.21784629084909468,0.021778586492803453,0.38707001454082834,1.247108222682625,1.098073279411501,0.9860961358253889,1.1138141370570331
5,CPF;EUEF;GTF;HSIF;NAEF,0.200;0.200;0.100;0.100;0.400,3.711296990347528,0.5925898063315813,0.5561682389717162,0.0738538352965854,0.11630642212298196,-0.23205012440809525,579.0,0.6711432931432074,0.7772193259082041,0.3182667343315113,-0.017947853391210994,0.06660120381960173,0.6619718309859155,-0.18462684450222733,0.03127493274660916,0.2843450550765188,1.1387270957216935,1.034752282550673,0.9702757245355442,1.1374249219247674
4,CPF;GBF;GEF;SBF,0.200;0.100;0.600;0.100,2.8753495688472315,0.638951455377741,0.5560305460996846,0.07383852512723976,0.10411917300677744,-0.2113444046336337,538.0,0.7365953314371236,0.8523240758190662,0.3493753489960575,-0.015911313711474844,0.06557160591167918,0.6619718309859155,-0.1781917210472973,0.015020970101668162,0.5011856102474551,1.0665365082264042,0.9960478694858567,0.9902433259318342,1.039193716147867
4,CNEF;CPF;GEF;GTF,0.100;0.200;0.600;0.100,3.3044032085962898,0.4718059875467374,0.5558826775430292,0.07382208225056996,0.11111466342288638,-0.22365155387791702,591.0,0.6969166868695971,0.8042247411826859,0.33007632171814316,-0.016810071263990943,0.06950640219863549,0.647887323943662,-0.18906278980677604,0.02833198642121455,0.2919760121775696,1.0554997716515782,0.9800690326906786,0.9700163172330976,1.0863613170304216
3,CPF;GEF;HSHF,0.300;0.600;0.100,2.7640595031037964,0.3562853328918102,0.5555800533392881,0.07378842657053553,0.10982095417447536,-0.22215528178031674,570.0,0.7035296645435273,0.8106608038246131,0.33214797316186645,-0.016722970854796845,0.0627327605472558,0.6619718309859155,-0.1748212825455453,0.02647375572683021,0.3058461538586958,1.0298494498524762,0.961327004465669,0.9730003948599674,1.0770158811411126
3,GBF;GEF;GRF,0.300;0.600;0.100,2.1481974437770806,0.751142858462237,0.5553773428997242,0.0737658795064482,0.11309052954924508,-0.2292951252973534,562.0,0.686259527049969,0.7936880778474594,0.321707142316207,-0.017129905296546292,0.07823708149925565,0.676056338028169,-0.21518843878107596,0.020055572414073127,0.42103264195027973,1.2424080369426158,1.0976901204049836,0.9906558210571921,1.129205309264845
4,CPF;GBF;HSIF;NAEF,0.300;0.100;0.100;0.500,3.8958997363618466,0.2198816206644948,0.5548076547231817,0.07370250106448539,0.11110686469578365,-0.1944404290177485,543.0,0.6957820489275667,0.8388711020038907,0.3790492617034796,-0.01682761521475083,0.061999735657405755,0.6619718309859155,-0.16661306257620956,0.03532471574780095,0.23045505427694649,1.0187547701481543,0.9671227147224761,0.9498154467663273,1.0636628684788096
3,ANEF;GTF;NAEF,0.100;0.400;0.500,2.4378267273072898,0.4399715178339985,0.5547874479729895,0.07370025268338187,0.11439539423324613,-0.21096057466547058,563.0,0.6790323770587648,0.8160809530963585,0.3493555741410526,-0.017349242835049548,0.07334351079960469,0.6619718309859155,-0.189533710454589,0.036269972907818505,0.23470582151903094,1.0824052091516705,1.0095520638962456,0.9521988491709679,1.097893135156415
4,CNEF;GTF;NAEF;VEEF,0.100;0.300;0.400;0.200,2.8536840366486778,0.5362326953282437,0.5546813924868055,0.07368845161337889,0.11824147692587687,-0.23223482005567353,604.0,0.6608304627514389,0.7652856636973676,0.3173014778563938,-0.0178604928978631,0.0763446788180824,0.6619718309859155,-0.2054151171069668,0.03654803089172386,0.2454897572169723,1.178231134622378,1.0606269524140501,0.9584981388915804,1.142312680187971
5,CPF;EUEF;GTF;NAEF;VAEF,0.300;0.100;0.100;0.400;0.100,3.53918305433641,0.5925898063315813,0.5545006511877246,0.07366833850235333,0.10264693212625617,-0.20643970889899788,536.0,0.7440729377669398,0.8691596733700676,0.35685159069080113,-0.015732100844001982,0.0595201893454214,0.647887323943662,-0.16036453565186704,0.02453240170275794,0.2939541649590424,0.9985794102747804,0.9515372230985534,0.9710303595712638,1.0046219442008877
4,CPF;GBF;GEF;HKEF,0.200;0.100;0.600;0.100,3.7153239333219266,0.38087997668427925,0.5540260508930424,0.07361551506541031,0.11056029474138027,-0.22426577394728064,591.0,0.6981169474874025,0.8046869889590265,0.32825122518568306,-0.01670055461411594,0.06876219069856641,0.6619718309859155,-0.19138174807028074,0.025296807857782364,0.3169812112368931,1.0953579549996744,1.008965271600245,0.9766981156038963,1.0883871749413119
3,GBF;NAEF;SBF,0.100;0.500;0.400,2.1310402808818156,0.638951455377741,0.5537465810846165,0.0735844034949158,0.11780921455107504,-0.21979563352031162,573.0,0.661810311420723,0.7979168612377461,0.334785556547991,-0.017818227491725604,0.0782806892254059,0.647887323943662,-0.20433855657485633,0.033308352301543914,0.2642565506579159,1.2261661087773208,1.0972241329509576,0.9673312582942876,1.1486252531743797
5,ANEF;CPF;GBF;VEEF;VUEF,0.100;0.300;0.100;0.100;0.400,3.645789656234552,0.607376371577533,0.5533804710744201,0.07354363972612821,0.10401730550333557,-0.20655867412669426,557.0,0.7344512191289605,0.8980776767375366,0.35604236925446026,-0.01571203034802732,0.06878555145234395,0.6619718309859155,-0.17824902942422882,0.06020050653074252,0.12010254682440236,1.0045227885331676,0.9680495123899802,0.8255320058633238,0.8654926677494126
5,ANEF;CPF;EUEF;GTF;VUEF,0.100;0.300;0.100;0.100;0.400,3.5173638505541125,0.5656946229667411,0.5533199144987779,0.07353689640154659,0.10268989143454271,-0.20854488555391204,548.0,0.7425492165983139,0.90490012043227,0.35261903549553214,-0.015602027344611942,0.06637492121681836,0.676056338028169,-0.17102164535443787,0.05739193808578486,0.12348242611566047,0.971149193526552,0.9420235059992755,0.8389455577332922,0.8683310911140139
